Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
1,Ensure that intelligence for impersonation protection is enabled,+2.84%,	0/8,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
2,Move messages that are detected as impersonated users by mailbox intelligence,+2.84%,	0/8,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
3,Enable impersonated domain protection,+2.84%,	0/8,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
4,Set the phishing email level threshold at 2 or higher,+2.84%,	0/8,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
5,Enable impersonated user protection,+2.84%,	0/8,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
6,Quarantine messages that are detected from impersonated domains,+2.13%,	0/6,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
7,Quarantine messages that are detected from impersonated users,+2.13%,	0/6,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
8,"Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.",+1.77%,	0/5,To address,No,No,Identity,Defender for Identity,4/19/2024,None,
9,Ensure DLP policies are enabled,+1.77%,	0/5,To address,No,No,Data,Microsoft Information Protection,4/19/2024,None,
10,Ensure 'External sharing' of calendars is not available,+1.77%,	0/5,To address,No,Yes,Apps,Exchange Online,4/19/2024,None,
11,Ensure additional storage providers are restricted in Outlook on the web,+1.77%,	0/5,To address,No,Yes,Apps,Exchange Online,4/19/2024,None,
12,Set action to take on high confidence spam detection,+1.77%,	0/5,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
13,Set action to take on phishing detection,+1.77%,	0/5,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
14,Ensure all forms of mail forwarding are blocked and/or disabled,+1.77%,	0/5,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
15,Ensure user consent to apps accessing company data on their behalf is not allowed,+1.42%,	0/4,To address,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
16,Create an OAuth app policy to notify you about new OAuth applications,+1.42%,	0/4,To address,No,No,Apps,Microsoft Defender for Cloud Apps,4/18/2024,None,
17,Ensure MailTips are enabled for end users,+1.06%,	0/3,To address,No,Yes,Apps,Exchange Online,4/19/2024,None,
18,Ensure Microsoft 365 audit log search is Enabled,+1.06%,	0/3,To address,No,Yes,Apps,Microsoft Information Protection,4/19/2024,None,
19,Ensure mailbox auditing for all users is Enabled,+1.06%,	0/3,To address,No,Yes,Apps,Exchange Online,4/19/2024,None,
20,Ensure users installing Outlook add-ins is not allowed,+1.06%,	0/3,To address,No,Yes,Apps,Exchange Online,4/19/2024,None,
21,Enable the domain impersonation safety tip,+1.06%,	0/3,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
22,Enable the user impersonation safety tip,+1.06%,	0/3,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
23,Enable the user impersonation unusual characters safety tip ,+1.06%,	0/3,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
24,Ensure Exchange Online Spam Policies are set to notify administrators,+1.06%,	0/3,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
25,Ensure that an anti-phishing policy has been created,+1.06%,	0/3,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
26,Create an app discovery policy to identify new and trending cloud apps in your org ,+1.06%,	0/3,To address,No,Yes,Apps,Microsoft Defender for Cloud Apps,4/18/2024,None,
27,Publish M365 sensitivity label data classification policies,+0.71%,	0/2,To address,No,No,Data,Microsoft Information Protection,4/19/2024,None,
28,Create a custom activity policy to get alerts about suspicious usage patterns,+0.71%,	0/2,To address,No,No,Apps,Microsoft Defender for Cloud Apps,4/18/2024,None,
29,Only invited users should be automatically admitted to Teams meetings,+0.71%,	0/2,To address,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
30,Configure which users are allowed to present in Teams meetings,+0.71%,	0/2,To address,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
31,Sign out inactive users in SharePoint Online,+0.35%,	0/1,To address,No,Yes,Apps,SharePoint Online,4/19/2024,None,
32,Ensure modern authentication for SharePoint applications is required,+0.35%,	0/1,To address,No,Yes,Apps,SharePoint Online,4/19/2024,None,
33,Extend M365 sensitivity labeling to assets in Microsoft Purview data map,+0.35%,	0/1,To address,No,No,Data,Microsoft Information Protection,4/19/2024,None,
34,Ensure the customer lockbox feature is enabled,+0.35%,	0/1,To address,No,No,Apps,Exchange Online,4/19/2024,None,
35,Ensure that Auto-labeling data classification policies are set up and used,+0.35%,	0/1,To address,No,No,Data,Microsoft Information Protection,4/19/2024,None,
36,Retain spam in quarantine for 30 days,+0.35%,	0/1,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
37,Set the email bulk complaint level (BCL) threshold to be 6 or lower,+0.35%,	0/1,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
38,Block users who reached the message limit,+0.35%,	0/1,To address,No,Yes,Apps,Defender for Office,4/19/2024,None,
39,Deploy a log collector to discover shadow IT activity,+0.35%,	0/1,To address,No,Yes,Apps,Microsoft Defender for Cloud Apps,4/18/2024,None,
40,Restrict anonymous users from joining meetings,+0.35%,	0/1,To address,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
